lid,username,crop,startTime
1,jon,Papaya,2020-01-01 13:01:52
2,jon,Pumpkin,2020-01-01 13:01:52
3,jon,Papaya,2020-01-01 13:01:52
4,jon,Sunflower,2020-01-01 13:01:52
5,jon,Watermelon,2020-01-01 13:01:52
6,jiemi,Papaya,2020-01-01 13:01:52
7,jiemi,Sunflower,2020-01-01 13:01:52
8,jiemi,Papaya,2020-01-01 13:01:52
9,jiemi,Watermelon,2020-01-01 13:01:52
10,jiemi,Papaya,2020-01-01 13:01:52
11,lindy,Papaya,2020-01-01 13:01:52
12,lindy,Sunflower,2020-01-01 13:01:52
13,lindy,Papaya,2020-01-01 13:01:52
14,lindy,Watermelon,2020-01-01 13:01:52
15,lindy,Papaya,2020-01-01 13:01:52
16,adam,Pumpkin,2020-01-01 13:01:52
17,pius,Sunflower,2020-01-01 13:01:52
18,john,Watermelon,2020-01-01 13:01:52
19,luke,\N,\N